image,title,id,regular_price,special_price,Brand,Model,Part No,Processor Brand,Processor Type,Processor Model,Processor Base Frequency,Processor Max Turbo Frequency,Processor Core,Processor Thread,CPU Cache,RAM,RAM Type,Storage,M.2/SSD Expansion Slot,Graphics Chipset,Graphics Memory Accessibility,Graphics Memory,Display Size (Inch),Display Type,Display Resolution,Touch Screen,Optical Drive,Multimedia Card Slot,Supported Multimedia Card,USB 2 Port,USB 3 Port,USB C / Thunderbolt Port,HDMI Port,Headphone Port,Microphone Port,Security Lock Slot,LAN,WiFi,Bluetooth,Audio Properties,Speaker,Microphone.,WebCam,Keyboard Layout,Pointing Device,Security Chip,Operating System,Color,Dimensions,Weight (Kg),Battery,Battery Capacity,Battery Type,Power Adapter,Warranty,Warranty Claim Duration (Approximate),Specialty,Country Of Origin,Made in/ Assemble,Laptop Series,Installed RAM Details,Max. RAM Support,Installed SSD Type,Display Surface,Display Features,Keyboard Back-lit,Num Key pad,Finger Print Sensor,Body Material,Adapter Type,Display Bazel,Generation,Total RAM Slot,Empty/Expansion RAM Slot,Installed HDD Type,HDD RPM,Others,Chipset.,Display Refresh Rate,Storage Upgrade,RAM Bus (MHz),Video Port,Backup Time,VGA/D-Sub,Graphics Memory Type,Audio Port,Micro HDMI Port,NFC,RGB Keyboard,Package Content,Optane Memory,Optane Memory Slot,TPM,Secondary Screen Size,Secondary Screen Technology,Secondary Screen Resolution,Face Detection,Mini HDMI Port,Best For,Device Lighting
https://www.ryanscomputers.com/storage/products/main/asus-br1100fk-intel-cdc-n4500-116-inch-hd-led-11632392732.webp,Asus BR1100FKA Intel CDC N4500 11.6 Inch HD LED Touch Display Dark Grey Education Laptop #BP0629,Product Id: 33.01.006.1398,"                                 41,230  ","                                 38,000  ",Asus,Asus BR1100FKA,BP0629,Intel,Intel Celeron Dual Core,CDC N4500,1.10 GHz,2.80 GHz,2,2,4MB,4GB,DDR4,128GB eMMC,1,Intel UHD Graphics,Integrated,Shared,11.6,HD IPS Display,1366x768 (WxH) HD,Yes,No,1,Micro SD card reader,1 x USB 2.0 Type-A,1 x USB 3.2 Gen 1 Type-A,1 x USB 3.2 Gen 2 Type-C,1,Combo,Combo,Kensington Lock,Ethernet RJ-45,Yes,Bluetooth 5.0,ASUS SonicMaster Audio,Yes,Built-in array microphone,HD WebCam,Chiclet Keyboard,TouchPad,Firmware TPM 2.0,Free-Dos,Dark Gray,294.6 x 204.9 x 19.9mm,1.40 kg,3 Cell,42 Wh,Li-Ion,45 W AC power adapter,2 Year (1 year for Battery),Estimated Warranty Claim Duration 20 Days. It may take additional time up to 40 days,"Handy built-in stylus, 1.35mm Key-travel, Spill-resistant Keyboard, 13.0M camera, ASUS BR1100F includes a special world-facing camera that empowers students to explore and learn in totally new ways, allowing them to easily capture photos and videos in tablet mode. And, with an exceptional 13MP resolution, detailed captures and recordings are assured, ASUS BR1100F is built to withstand everyday knocks, bumps, drops and spills without damage. So, whether its dropped from a classroom desk or the dining table, BR1100F is built to keep on going.",Taiwan,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/asus-vivobook-14-e410ma-intel-cdc-n4020-14-inch-11636546502.webp,Asus VivoBook 14 E410MA Intel CDC N4020 14 Inch HD Display Peacock Blue Laptop #BV1259T-E410MA,Product Id: 33.01.006.1422,"                                 41,230  ","                                 38,000  ",Asus,Asus VivoBook 14 E410MA,BV1259T-E410MA,Intel,Intel Celeron Dual Core,CDC N4020,1.10 GHz,2.80 GHz,2,2,4MB,4GB,DDR4,512GB SSD,,Intel UHD Graphics 600,Integrated,Shared,14,HD LED,1366x768 (WxH) HD,,No,1,Micro SD card reader,1 x USB 2.0 Type-A,1 x USB 3.2 Gen 1 Type-A,1 x USB 3.2 Gen 1 Type-C,1,Combo,Combo,,,WiFi 5 (802.11ac),Bluetooth 4.1,SonicMaster Audio by ICEpower,Yes,Yes,Yes,Illuminated Chiclet Keyboard 1.4mm Key-travel,TouchPad,Firmware TPM,Windows 10 Home,Peacock Blue,325 x 217 x 18.4mm,1.30 kg,3 Cell,42 Wh,Li-ion,,2 Year (1 year for Battery),Estimated Warranty Claim Duration 20 Days. It may take additional time up to 40 days,"AppDeals, System diagnosis, Battery health charging, Splendid, Tru2Life, Function key lock, WiFi SmartConnect, Link to MyASUS",Taiwan,China,VivoBook,1 x 4GB,8GB,NVMe PCIe,Anti-Glare,"16:9 aspect ratio, LED Backlit, 200nits, 45% NTSC color gamut for non-OLED, Anti-glare display, Screen-to-body ratio: 78%",Yes,Yes (Touchpad),No,Metal,33Watt AC Adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/asus-vivobook-14-e410ma-intel-cdc-n4020-14-inch-11635587461.webp,Asus VivoBook 14 E410MA Intel CDC N4020 14 Inch FHD Display Star Black Metal Laptop #EB1420T-E410MA,Product Id: 33.01.006.1418,"                                 45,030  ","                                 41,500  ",Asus,Asus VivoBook 14 E410MA,EB1420T-E410MA,Intel,Intel Celeron Dual Core,Celeron Dual Core N4020,1.10 GHz,2.80 GHz,2,2,4MB,4GB,DDR4,512GB SSD,,Intel UHD Graphics 600,Integrated,Shared,14,FHD IPS LED Display,1920x1080 (WxH) FHD,,No,1,Micro SD card reader,1 x USB 2.0 Type-A,1 x USB 3.2 Gen 1 Type-A,1 x USB 3.2 Gen 1 Type-C,1,Combo,Combo,,,Yes,Bluetooth 4.1,SonicMaster Audio,Yes,Built-in microphone,VGA Camera,Illuminated Chiclet Keyboard 1.4mm Key-travel,TouchPad,Firmware TPM,Windows 10 Home,Star Black,325 x 217 x 18 - 18.4mm,1.30 kg,3 Cell,42 Wh,Li-ion,33Watt AC Adapter,"2 year (Battery, Adapter 1 year)",Estimated Warranty Claim Duration 20 Days. It may take additional time up to 40 days,,Taiwan,China,VivoBook,,,NVMe PCIe,Anti-Glare,"16:9 aspect ratio, LED Backlit, 220nits, 45% NTSC color gamut for non-OLED, Anti-glare display, Screen-to-body ratio: 78%",Yes,,,Metal,,NanoEdge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/asus-vivobook-15-e510ma-intel-cdc-n4020-156-inch-11631537171.webp,Asus 15 E510MA Intel CDC N4020 15.6 Inch FHD Star Black Laptop #EJ601T-E510MA,Product Id: 33.01.006.1396,"                                 45,030  ","                                 41,500  ",Asus,Asus 15 E510MA,EJ601T-E510MA,Intel,Intel Celeron Dual Core,CDC N4020,1.10 GHz,2.80 GHz,2,2,4MB,4GB,DDR4,512GB SSD,,Inte UHD Graphics 600,Integrated,Shared,15.6,FHD LED,1920x1080 (WxH) FHD,,No,1,Micro SD card reade,1 x USB 2.0 Type-A,1 x USB 2.0 Type-A,1 x USB 3.2 Gen 1 Type-C,1,Combo,Combo,,,Wi-Fi 5 (802.11ac),Bluetooth 4.2,Audio by ICEpower,Yes,Built-in microphone,VGA Camera,Illuminated chiclet keyboard,TouchPad,Firmware TPM,Windows 10 Home,Star Black,360.2 x 236.4 x 18.1 - 18.1mm,1.57 kg,3 Cell,42 Wh,Li-ion,33W AC Adapter,2 Year (1 year for Battery),Estimated Warranty Claim Duration 20 Days. It may take additional time up to 40 days,"The fanless design keeps noise levels down, so you won`t be distracted when working on a spreadsheet or watching a movie.",Taiwan,China,,1 x 4GB Non-Removable,,NVMe PCIe,,,Yes,Yes (Numeric),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/asus-vivobook-15-x515ja-10th-gen-intel-core-i3-11626261438.webp,Asus 15 X515JA 10th Gen Intel Core i3 1005G1  15.6 Inch FHD Display Peacock Blue Laptop #BQ914T/BQ1664T-X515JA,Product Id: 33.01.006.1349,"                                 51,000  ","                                 47,000  ",Asus,Asus 15 X515JA,BQ914T/BQ1664T-X515JA,Intel,Intel Core i3,Core i3 1005G1,1.20 GHz,3.40 GHz,2,4,4MB,4GB,DDR4,1TB HDD,1,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED,1920x1080 (WxH) FHD,,No,1,MicroSD card reader,2 x USB 2.0 Type-A,1 x USB 3.2 Gen 1 Type-A,1 x USB 3.2 Gen 1 Type-C,1,Combo,Combo,Yes,,Wi-Fi 5 (802.11ac),Bluetooth 4.1,Audio by ICEpower,Yes,Yes,VGA camera,"Chiclet Keyboard, 1.4mm Key-travel",TouchPad,Firmware TPM,Windows 10 Home,Peacock Blue,360.2 x 234.9 x 19.9mm,1.80 kg,2 Cell,37Wh,Li-ion,45W AC Adapter,2 Year (1 year for Battery),Estimated Warranty Claim Duration 20 Days. It may take additional time up to 40 days,"ASUS Vivobook 15 X515 is the entry-level laptop that delivers powerful performance and immersive visuals. Its NanoEdge display boasts wide 178 degree viewing angles and a matte anti-glare coating for a truly engaging experience. ASUS Vivobook 15 X515 has a dual storage design to give you the benefits of superfast data performance and a large storage capacity. Install apps on the SSD for quicker response and loading times, and use the HDD to store large files such as movies, music libraries, and photo albums. The NanoEdge display gives ASUS Vivobook 15 X515 a vast screen area for an immersive viewing experience for work and play. Its wide-view FHD panel features an anti-glare coating to reduce unwanted distractions from irritating glare and reflections",Taiwan,China,,1 x 4GB Non-Removable,8GB,,Anti-glare,"Aspect Ratio: 16:9, LED Backlit, Brightness: 200 nits, NTSC: 45%, Screen-to-body ratio: 83 %",Yes,Yes,,,,,10th,2,1,SATA,5400 RPM,"HDMI version: 1.4, Audio Jack version: 3.5mm, 1 x DC-in, SSD expansion: M.2 2280 PCIe 3.0 x 2, Power Supply: 4.0, Output: 19V DC, 2.37A, 45W, Input: 100 - 240V AC 50/60Hz universal, Regulatory Compliance: Energy star",,,,,,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/asus-expertbook-p2451fa-intel-core-i3-10110u-14-11635588260.webp,Asus ExpertBook P2451FA Intel Core i3 10110U 14 Inch FHD LED Display Star Black Laptop #EK0014T-P2451FA,Product Id: 33.01.006.1419,"                                 52,080  ","                                 48,000  ",Asus,Asus ExpertBook P2451FA,EK0014T-P2451FA,Intel,Intel Core i3,Core i3 10110U,2.10 GHz,4.10 GHz,2,4,4MB,4GB,DDR4,1TB HDD,,Intel UHD Graphics,Integrated,Shared,14,FHD IPS LED Display,1920x1080 (WxH) FHD,,No,1,Micro SD card reader,1 x Type-A USB2.0,2 x Type-A USB 3.2,1 x Type-C USB 3.2,1,Combo,Combo,,Ethernet RJ-45,Yes,Bluetooth 5.0,Built-in 2 W Stereo Speakers,Yes,Digital Array Microphone,HD WebCam,Chiclet Keyboard,TouchPad,,Windows 10 Home,Star Black,325.3 x 232.9 x 19.9mm,1.60 kg,3 Cell,48 Wh,,65Watt AC adapter,3 Year (1 year for Battery),Estimated Warranty Claim Duration 20 Days. It may take additional time up to 40 days,,Taiwan,China,ExpertBook,,,,Anti-Glare,60Hz Anti-Glare Panel with 45% NTSC,,,Yes,,,NanoEdge,10th,,,SATA,5400 RPM,,Integrated Intel CPU,60 Hz,,,,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/asus-vivobook-15-x515ea-intel-core-i3-1115g4-156-11628108682.webp,Asus 15 X515EA Intel Core i3 1115G4 15.6 Inch FHD Display Transparent Silver Laptop #BQ986T-X515EA,Product Id: 33.01.006.1369,"                                 56,420  ","                                 52,000  ",Asus,Asus 15 X515EA,BQ986T-X515EA,Intel,Intel Core i3,Core i3 1115G4,,4.10 GHz,2,4,6MB,4GB,DDR4,512GB SSD,1,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED,1920x1080 (WxH) FHD,,No,,,2 x USB 2.0 Type-A,1 x USB 3.2 Gen 1 Type-A,1 x USB 3.2 Gen 1 Type-C,1,Combo,Combo,,,Wi-Fi 5 (802.11ac),Bluetooth 4.1,Audio by ICEpower SonicMaster,Yes,Yes,Yes,"Backlit Chiclet Keyboard, 1.4mm Key-travel",TouchPad,Firmware TPM,Windows 10 Home,Transparent Silver,360.2 x 234.9 x 19.9mm,1.80 kg,2 Cell,37Wh,Li-ion,45W AC Adapter,2 Year (1 year for Battery),Estimated Warranty Claim Duration 20 Days. It may take additional time up to 40 days,ASUS X515 is the entry-level laptop that delivers powerful performance and immersive visuals. Its NanoEdge display boasts wide 178 degree viewing angles and a matte anti-glare coating for a truly engaging experience. A dual-storage design gives you the perfect combination of large storage capacity and fast data read / write speeds.,Taiwan,China,,1 x 4GB Non-Removable,16GB,NVMe PCIe,Anti-glare,"Aspect Ratio: 16:9, LED Backlit, 200nits, NTSC: 45%, Screen-to-body ratio: 83 %",Yes,,Yes,,,,11th,2,1,,,"HDMI Version: 1.4, 1 x DC-in, Power Supply: 4.0, Output: 19V DC, 1.75A, 33W, Input: 100-240V AC 50/60Hz universal",,,512GB SSD Can Be Replaced,,,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/asus-vivobook-15-x515ea-11th-gen-intel-core-i3-11628598104.webp,Asus 15 X515EA 11th Gen Intel Core i3 1115G4 15.6 Inch FHD Display Peacock Blue Laptop #BQ016T-X515EA,Product Id: 33.01.006.1371,"                                 56,420  ","                                 52,000  ",Asus,Asus 15 X515EA,BQ016T-X515EA,Intel,Intel Core i3,Core i3 1115G4,,4.10 GHz,2,4,6MB,4GB,DDR4,512GB SSD,1,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED,1920x1080 (WxH) FHD,,No,,,2 x USB 2.0 Type-A,1 x USB 3.2 Gen 1 Type-A,1 x USB 3.2 Gen 1 Type-C,1,Combo,Combo,,,Wi-Fi 5 (802.11ac),Bluetooth 4.1,Audio by ICEpower SonicMaster,Yes,Yes,Yes,"Backlit Chiclet Keyboard, 1.4mm Key-travel",TouchPad,Firmware TPM,Windows 10 Home,Peacock Blue,360.2 x 234.9 x 19.9mm,1.80 kg,2 Cell,37Wh,Li-ion,45W AC Adapter,2 Year (1 year for Battery),Estimated Warranty Claim Duration 20 Days. It may take additional time up to 40 days,ASUS X515 is the entry-level laptop that delivers powerful performance and immersive visuals. Its NanoEdge display boasts wide 178 degree viewing angles and a matte anti-glare coating for a truly engaging experience. A dual-storage design gives you the perfect combination of large storage capacity and fast data read / write speeds.,Taiwan,China,,1 x 4GB Non-Removable,12GB,NVMe PCIe,Anti-glare,"Aspect Ratio: 16:9, LED Backlit, 200nits, NTSC: 45%, Screen-to-body ratio: 83 %",Yes,,,,,,11th,2,1,,,"HDMI Version: 1.4, 1 x DC-in, Power Supply: 4.0, Output: 19V DC, 1.75A, 33W, Input: 100-240V AC 50/60Hz universal",,,512GB SSD Can Be Replaced,3200MHz,,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/asus-vivobook-15-x515ea-11th-gen-intel-core-i3-41629712671.webp,Asus 15 X515EA 11th Gen Intel Core i3 1115G4 15.6 Inch FHD Display Slate Grey Laptop #BQ1097T-X515EA,Product Id: 33.01.006.1383,"                                 56,420  ","                                 52,000  ",Asus,Asus 15 X515EA,BQ1097T-X515EA,Intel,Intel Core i3,Core i3 1115G4,,4.10 GHz,2,4,6MB,4GB,DDR4,512GB SSD,1,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED,1920x1080 (WxH) FHD,,No,,,2 x USB 2.0 Type-A,1 x USB 3.2 Gen 1 Type-A,1 x USB 3.2 Gen 1 Type-C,1,Combo,Combo,,,Wi-Fi 5 (802.11ac),Bluetooth 4.1,Audio by ICEpower SonicMaster,Yes,Yes,Yes,"Backlit Chiclet Keyboard, 1.4mm Key-travel",TouchPad,Firmware TPM,Windows 10 Home,Slate Grey,360.2 x 234.9 x 19.9mm,1.80 kg,2 Cell,37Wh,Li-ion,45W AC Adapter,2 Year (1 year for Battery),Estimated Warranty Claim Duration 20 Days. It may take additional time up to 40 days,ASUS X515 is the entry-level laptop that delivers powerful performance and immersive visuals. Its NanoEdge display boasts wide 178 degree viewing angles and a matte anti-glare coating for a truly engaging experience. A dual-storage design gives you the perfect combination of large storage capacity and fast data read / write speeds.,Taiwan,China,,1 x 4GB Non-Removable,16GB,NVMe PCIe,Anti-glare,"Aspect Ratio: 16:9, LED Backlit, 200nits, NTSC: 45%, Screen-to-body ratio: 83 %",Yes,,Yes,,,,11th,2,1,,,"HDMI Version: 1.4, 1 x DC-in, Power Supply: 4.0, Output: 19V DC, 1.75A, 33W, Input: 100-240V AC 50/60Hz universal",,,512GB SSD Can Be Replaced,,,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/asus-vivobook-14-x415ea-11th-gen-intel-core-i3-11626264882.webp,Asus 14 X415EA Intel Core i3 1115G4 14 Inch FHD Display Slate Grey Laptop #EB013T-X415EA #EK567T/EB013T-X415EA,Product Id: 33.01.006.1351,"                                 56,960  ","                                 52,500  ",Asus,Asus 14 X415EA,EK567T/EB013T-X415EA,Intel,Intel Core i3,Core i3 1115G4,,4.10 GHz,4,8,8MB,4GB,DDR4,512GB SSD,,Intel UHD Graphics,Integrated,Shared,14,FHD LED,1920x1080 (WxH) FHD,,No,,,2 x USB 2.0 Type-A,1 x USB 3.2 Gen 1 Type-A,1 x USB 3.2 Gen 1 Type-C,1,Combo,Combo,Yes,,Wi-Fi 5 (802.11ac),Bluetooth 4.1,SonicMaster Audio,Yes,Yes,VGA Camera,"Backlit Chiclet Keyboard, 1.4mm Key-travel",TouchPad,Firmware TPM,Windows 10 Home,Slate Grey,325.4 x 216 x 19.9mm,1.55 kg,2 Cell,37Wh,Li-ion,45W AC Adapter,2 Year (1 year for Battery),Estimated Warranty Claim Duration 20 Days. It may take additional time up to 40 days,"ASUS X415 is the entry-level laptop that delivers powerful performance and immersive visuals. Its NanoEdge display boasts wide 178 degree viewing angles and a matte anti-glare coating for a truly engaging experience. ASUS X415 has a dual storage design to give you the benefits of superfast data performance and a large storage capacity. Install apps on the SSD for quicker response and loading times, and use the HDD to store large files such as movies, music libraries, and photo albums.",Taiwan,China,,1 x 4GB Non Removable,12GB,NVMe PCIe,Anti-glare,"Aspect Ratio: 16:9, IPS-level Panel, LED Backlit, 250nits, NTSC: 45%",Yes,,Yes,,,,11th,2,1,,,"HDMI Version: 1.4, 1 x DC-in, Power Supply: 4.0, Output: 19V DC, 2.37A, 45W, Input: 100-240V AC 50/60Hz universal, Regulatory Compliance: EPEAT, Energy star, HDD Expansion Slot: None",,,512GB SSD Can Be Replaced,2400 MHz,,,,,,,,,,,,,,,,,,,
