image,title,id,regular_price,special_price,Brand,Model,Laptop Series,Part No,Processor Brand,Processor Type,Generation,Processor Model,Processor Base Frequency,Processor Max Turbo Frequency,Processor Core,Processor Thread,CPU Cache,RAM,Installed RAM Details,RAM Type,RAM Bus (MHz),Total RAM Slot,Max. RAM Support,Storage,Installed HDD Type,HDD RPM,M.2/SSD Expansion Slot,Graphics Chipset,Graphics Memory Accessibility,Graphics Memory,Display Size (Inch),Display Type,Display Resolution,Display Features,Optical Drive,Multimedia Card Slot,USB 2 Port,USB 3 Port,HDMI Port,Headphone Port,Microphone Port,Security Lock Slot,LAN,WiFi,Bluetooth,Audio Properties,Speaker,Microphone.,WebCam,Num Key pad,Pointing Device,Operating System,Color,Dimensions,Weight (Kg),Battery,Battery Capacity,Battery Type,Power Adapter,Warranty,Warranty Claim Duration (Approximate),Specialty,Others,Country Of Origin,Made in/ Assemble,Installed SSD Type,Supported Multimedia Card,USB C / Thunderbolt Port,Keyboard Back-lit,Finger Print Sensor,Body Material,Backup Time,Chipset.,Optane Memory,Storage Upgrade,Display Surface,TPM,Adapter Type,Processor Type.,Built-In RAM,Security Chip,Empty/Expansion RAM Slot,Package Content,Mini HDMI Port,Keyboard Layout,Micro HDMI Port,VGA/D-Sub,Graphics Memory Type,Licensed Application,Display Refresh Rate,Audio Port,Display Bazel,Touch Screen,Display Port,NFC,RGB Keyboard,Mini DP Port,Secondary Screen Size,Secondary Screen Technology,Secondary Screen Resolution
https://www.ryanscomputers.com/storage/products/main/acer-extensa-15-ex215-52-58sq-10th-gen-intel-core-11600770922.webp,Acer Extensa 15 EX215-52-58SQ Intel Core i5 1035G1 15.6 Inch FHD Display Black Laptop,Product Id: 33.01.002.877,"                                 58,050  ","                                 53,500  ",Acer,Acer Extensa 15 EX215-52-58SQ,Extensa 15,NX.EG8SI.003,Intel,Intel Core i5,10th,Core i5 1035G1,1.00 GHz,3.60 GHz,4,8,6MB,8GB,2 x 4 GB (1 x 4 GB Non-Removable),DDR4,2666 MHz,2,12GB,1TB HDD,SATA,5400 RPM,1,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED,1920x1080 (WxH) FHD,"Display Screen Type: LCD, Display Screen Technology: ComfyView, Aspect Ratio: 16:9, Screen Mode: Full HD",No,None,2 x USB2.0,1 x USB3.2 Gen 1,1,Combo,Combo,Kensington lock slot,Ethernet RJ-45,"802.11a, b, g, n, ac",Yes,Stereo Speakers,2 x Speakers,Digital Microphone,Yes,Yes,Touchpad,Free-Dos,Black,363.4 x 250.5 x 19.90mm,1.90 Kg,2 Cell,36.70Wh,Li-Ion,45W AC power adapter,"2 year (Battery, Adapter 1 year)",Estimated Warranty Claim Duration 20 Days. It may take additional time up to 40 days,"64-bit Processing, Hyper-Threading, Touchpad with multi-touch gesture support, Lithium Ion Battery","Direct Media Interface: 4 GT/s, 64-bit Processing: Yes, Hyper-Threading: Yes, HDCP Supported: Yes, Wireless LAN Standard: IEEE 802.11a/b/g/n/ac, Ethernet Technology: Gigabit Ethernet, Front Camera/Webcam Resolution: 0.3 Megapixel, Front Camera/Webcam Video Resolution: 640 x 480, Microphone Type: Digital, Sound Mode: Stereo, Supported M.2 Size: 2242/2280",Taiwan,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/acer-aspire-3-a315-56-10th-gen-intel-core-i5-11609661543.webp,Acer Aspire 3 A315-56 Intel Core i5 1035G1 5.6 Inch FHD Display Shale Black Laptop,Product Id: 33.01.002.871,"                                 59,130  ","                                 54,500  ",Acer,Acer Aspire 3 A315-56,Aspire 3,NX.HS5SI.00D,Intel,Intel Core i5,10th,Core i5 1035G1,1.00 GHz,3.60 GHz,4,8,6MB,8GB,2 x 4GB (1 x 4GB Non-Removable),DDR4,,2,12GB,1TB HDD,,,1,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED,1920x1080 (WxH) FHD,,No,,,,,,,,,Yes,,,,,,,,Windows 10 Home,Shale Black,,,,,,,"2 year (Battery, Adapter 1 year)",Estimated Warranty Claim Duration 20 Days. It may take additional time up to 40 days,,,Taiwan,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/avita-liber-8th-gen-intel-core-i5-8250u-matt-11581580298.webp,Avita LIBER Intel Core i5 8250U 13.3 Inch FHD IPS Display Matt Black Laptop #7755-AVT-NS13A2BD014P,Product Id: 33.01.780.10,"                                 60,980  ","                                 56,700  ",Avita,Avita LIBER,LIBER,7755-AVT-NS13A2BD014P,Intel,Intel Core i5,8th,Core i5 8250U,1.60 GHz,3.40 GHz,4,8,6MB,8GB,,LPDDR3,,,,512GB SSD,,,,Intel UHD Graphics 620,Integrated,Shared,13.3,FHD IPS LED Display,1920x1080 (WxH) FHD,,No,1,,2 x USB 3.0,1,Combo,Combo,,,"802.11a, b, g, n",Bluetooth 4.0,,Yes,Yes,Yes,,,Windows 10 Home,Matt Black,315 x 212 x 15mm,1.35 Kg,Li-Ion Battery,36Wh,,AC power adapter,"2 year (Battery, Adapter 1 year)",Estimated Warranty Claim Duration 15 Days. It may take additional time up to 45 days,"Finger Print Sensor, Backlit Keyboard","Integrated Camera: 720p HD, Audio: 1W x 2 Stereo Speaker, Internal Dual Array Digital Mic, Keyboard: Island style non-backlit keyboard, Wireless: IEEE 802.11 b/g/n (Wi-Fi 4) /ac (Wi-Fi 5), Bluetooth: Bluetooth 4.0 / 4.2, DC in x 1, Battery Wh: 36 Wh",Hong Kong,China,SATA,MicroSD Card Reader,1 x USB 3.0 Type-C,Yes,Yes,Aluminum,Up to 8 Hrs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/acer-extensa-15-ex215-52-56fj-10th-gen-intel-core-11600770095.webp,Acer Extensa 15 EX215-52-56FJ 10th Gen Intel Core i5 1035G1 15.6 Inch FHD Display Black Laptop,Product Id: 33.01.002.875,"                                 61,850  ","                                 57,000  ",Acer,Acer Extensa 15 EX215-52-56FJ,Extensa 15,NX.EG8SI.004,Intel,,,Core i5 1035G1,1.00 GHz,3.60 GHz,4,8,6MB,8GB,2 x 4 GB (1 x 4 GB Non-Removable),DDR4,2666 MHz,2,12GB,1TB HDD,SATA,5400,1,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED,1920x1080 (WxH) FHD,"Display Screen Technology: ComfyView, Aspect Ratio: 16:9",,,2 x USB 2.0,1 x USB 3.2 Gen 1,1,Combo,Combo,Kensington Lock,Yes,Yes,Yes,,2 x Speakers,Yes,Yes,Yes,Touchpad with multi-touch gesture support,Windows 10 Home,Black,363.4 x 250.5 x 19.90mm,1.90Kg,2 Cell,36.70Wh,Li-Ion,45 W AC power adapter,"2 year (Battery, Adapter 1 year)",Estimated Warranty Claim Duration 20 Days. It may take additional time up to 40 days,"64-bit Processing, Hyper-Threading, Touchpad with multi-touch gesture support, Lithium Ion Battery","Direct Media Interface: 4 GT/s, 64-bit Processing: Yes, Hyper-Threading: Yes, Display Screen Type: LCD, Screen Mode: Full HD, Backlight Technology: LED, HDCP Supported: Yes, Wireless LAN Standard: IEEE 802.11a/b/g/n/ac, Ethernet Technology: Gigabit Ethernet, Front Camera/Webcam Resolution: 0.3 Megapixel, Front Camera/Webcam Video Resolution: 640 x 480, Microphone Type: Digital, Sound Mode: Stereo",Taiwan,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/lenovo-ideapad-slim-3i-15iil-10th-gen-intel-core-11604388453.webp,Lenovo IdeaPad Slim 3i 15IIL Intel Core i5 1035G1 15.6 Inch FHD Display Platinum Grey Laptop #81WE013GIN-2Y,Product Id: 33.01.200.813,"                                 62,930  ","                                 58,000  ",Lenovo,Lenovo Slim 3i 15IIL,IdeaPad,81WE013GIN-2Y,Intel,Intel Core i5,10th,Core i5 1035G1,1.00 GHz,3.60 GHz,4,8,6MB,8GB,2 x 4 GB (1 x 4 GB Non-Removable),DDR4,2666 MHz,2,12GB,1TB HDD,SATA,,1,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED,1920x1080 (WxH) FHD,,No,1,1 x USB2.0,2 x USB3.2 Gen 1,1,Combo,Combo,,None,802.11ac 2x2,Bluetooth 5.0,,Dolby Audio stereo speakers,Dual Array Microphone,HD Webcam,Yes,TouchPad,Windows 10 Home,Platinum Grey,362.2 x 253.4 x 19.9mm,1.85 kg,Li-Polymer,45Wh,Integrated,65W AC adapter,"2 year (Battery, Adapter 1 year)",Estimated Warranty Claim Duration 30 Days. It may take additional time up to 60 days,,"Display: 16:9 aspect ratio, Camera: 0.3MP or HD720p, with privacy shutter, fixed focus, integrated dual array microphone, Audio: HD Audio, Dolby Audio, stereo speakers, 1.5W x 2, dual array microphone, headphone / microphone combo jack, Keyboard: 6-row, multimedia Fn keys, numeric keypad, Touchpad: Buttonless Mylar surface multi-touch touchpad, Security: Power-on password, hard disk password, supervisor password",China,China,,"4-in-1 media reader (MMC, SD, SDHC, SDXC)",,,,PC/ABS plastic,,Intel SoC,None,"Aditional SSD Can be added, HDD can be replaced",Anti-glare,2.0,External,,,,,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/lenovo-ideapad-slim-3i-15iil-10th-gen-intel-core-11604389632.webp,Lenovo IdeaPad Slim 3i 15IIL Intel Core i5 1035G1 15.6 Inch FHD Antiglare Display Business Black Laptop,Product Id: 33.01.200.814,"                                 62,930  ","                                 58,000  ",Lenovo,Lenovo Slim 3i 15IIL,IdeaPad,81WE013HIN-2Y,Intel,,10th,Core i5 1035G1,1.00 GHz,3.60 GHz,4,8,6MB,8GB,2 x 4 GB (1 x 4 GB Non-Removable),DDR4,2666 MHz,2,12GB,1TB HDD,SATA,,,Intel Iris Plus Graphics,Integrated,Shared,15.6,FHD LED,1920x1080 (WxH) FHD,Aspect ratio: 16:9,No,1,1 x USB 2.0,2 x USB 3.2 Gen 1,1,Combo,Combo,,,802.11ac (2x2),Bluetooth 5.0,Dolby Audio stereo speakers,2 x 1.5W speakers,Dual Array Microphone,HD Webcam,Yes (Numeric),TouchPad,Windows 10 Home,Black,362.2 x 253.4 x 19.9mm,1.85 kg,Li-Polymer,45Wh,Li-Polymer,65W AC adapter,"2 year (Battery, Adapter 1 year)",Estimated Warranty Claim Duration 30 Days. It may take additional time up to 60 days,,"Camera: 0.3MP or HD720p, with privacy shutter, fixed focus, integrated dual array microphone, Audio: HD Audio, Dolby Audio, stereo speakers, dual array microphone, headphone / microphone combo jack, Keyboard: 6-row, multimedia Fn keys, numeric keypad, Touchpad: Buttonless Mylar surface multi-touch touchpad, Security: Power-on password, hard disk password, supervisor password",China,China,,"4-in-1 media reader (MMC, SD, SDHC, SDXC)",,,,PC/ABS plastic,,Intel SoC,,,Anti-glare,2.0,External,Core i5,4GB,,,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/lenovo-ideapad-slim-3i-14iil-10th-gen-intel-core-11604468230.webp,Lenovo IdeaPad Slim 3i 14IIL Intel Core i5 1035G1 14 Inch FHD Antiglare Display Platinum Grey Laptop,Product Id: 33.01.200.818,"                                 62,930  ","                                 58,000  ",Lenovo,Lenovo Slim 3i 14IIL,IdeaPad,81WD00QMIN-2Y,Intel,,10th,Core i5 1035G1,1.00 GHz,3.60 GHz,4,8,6MB,8GB,2 x 4 GB (1 x 4 GB Non-Removable),DDR4,2666 MHz,2,12GB,1TB HDD,SATA,,1,Intel Iris Plus Graphics,Integrated,Shared,14,FHD LED,1920x1080 (WxH) FHD,,No,1,1 x USB2.0,2 x USB3.2 Gen 1,1,Combo,Combo,,None,802.11ac 2x2,Bluetooth 5.0,,Dolby Audio stereo speakers,Dual Array Microphone,HD Webcam,No,TouchPad,Windows 10 Home,Platinum Grey,327.1 x 241 x 19.9mm,1.60 kg,Li-Polymer,35Wh,Li-Polymer,65W AC adapter,"2 year (Battery, Adapter 1 year)",Estimated Warranty Claim Duration 30 Days. It may take additional time up to 60 days,,"Display: 16:9 aspect ratio, Camera: 0.3MP or HD720p, with privacy shutter, fixed focus, integrated dual array microphone, Audio: HD Audio, Dolby Audio, stereo speakers, 1.5W x 2, dual array microphone, headphone / microphone combo jack, Keyboard: 6-row, multimedia Fn keys, numeric keypad, Touchpad: Buttonless Mylar surface multi-touch touchpad, Security: Power-on password, hard disk password, supervisor password",China,China,,"4-in-1 media reader (MMC, SD, SDHC, SDXC)",,,,PC/ABS plastic,,Intel SoC,None,,Anti-glare,,External,Core i5,4GB,2.0,,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/dell-inspiron-15-3501-11th-gen-intel-core-i5-11613480984.webp,Dell Inspiron 15 3501 11th Gen Intel Core i5 1135G7 15.6 Inch FHD Display Silver Laptop #BULLN315TGL2105255-2Y,Product Id: 33.01.013.1439,"                                 62,930  ","                                 58,000  ",Dell,Dell Inspiron 15 3501,Inspiron,BULLN315TGL2105255-2Y,Intel,Intel Core i5,11th,Core i5 1135G7,2.40 GHz,4.20 GHz,4,8,8MB,4GB,1 x 4GB Removable,DDR4,2666 MHz,2,32GB,1TB HDD,SATA3,5400 RPM,1,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED,1920x1080 (WxH) FHD,,No,1,1 x USB2.0,2 x USB 3.2 Gen 1 Type-A,1,Combo,Combo,1 x Wedge-shaped lock slot,Yes,802.11ac 1x1,Yes,,Stereo Speakers,Array Microphone,HD Webcam,Yes,TouchPad,Windows 10 Home,Silver,363 x 249 x 18mm,1.83 Kg,3 Cell,42 Wh,,,2 Year (2 Year for Battery and Adapter),Estimated Warranty Claim Duration 25 Days. It may take additional time up to 50 days,"720p at 30 fps HD camera, single-array microphone (Webcam), High Definition Audio, 2.0 stereo speakers, Realtek ALC3204 with Waves MaxxAudio Pro, 2 W x 2 (Audio and Speakers)",,USA,China,,"SD Media Card Reader (SD, SDHC, SDXC)",,,,Plastic,,,,,Anti-glare,,,,,,1,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/dell-inspiron-15-3501-11th-gen-intel-core-i5-11613481162.webp,Dell Inspiron 15 3501 Intel Core i5 1135G7 15.6 Inch FHD Display Blue Laptop #BULLN315TGL2105255-2Y,Product Id: 33.01.013.1440,"                                 62,390  ","                                 58,000  ",Dell,Dell Inspiron 15 3501,Inspiron,BULLN315TGL2105255-2Y,Intel,Intel Core i5,11th,Core i5 1135G7,2.40 GHz,4.20 GHz,4,8,8MB,4GB,1 x 4GB Removable,DDR4,2666 MHz,2,32GB,1TB HDD,SATA,5400 RPM,1,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED,1920x1080 (WxH) FHD,,No,1,1 x USB 2.0,2 x USB 3.2 Gen 1 Type-A,1,Combo,Combo,1 x Wedge-shaped lock slot,Yes,802.11ac (1x1),Yes,Stereo Speakers,Yes,Array Microphone,HD Webcam,Yes,TouchPad,Windows 10 Home,Blue,363 x 249 x 18mm,1.83 Kg,3 Cell,42Wh,,,2 Year (2 Year for Battery and Adapter),Estimated Warranty Claim Duration 25 Days. It may take additional time up to 50 days,"720p at 30 fps HD camera, single-array microphone (Webcam), High Definition Audio, 2.0 stereo speakers, Realtek ALC3204 with Waves MaxxAudio Pro, 2 W x 2 (Audio and Speakers)",,USA,China,,SD Card Reader,,,,Plastic,,,,,Anti-glare,,,,,,1,,,,,,,,,,,,,,,,,,
https://www.ryanscomputers.com/storage/products/main/dell-inspiron-15-3501-11th-gen-intel-core-i5-11614406181.webp,Dell Inspiron 15 3501 11th Gen Intel Core i5 1135G7 15.6 Inch FHD Display Black Laptop #BULLN315TGL2105255-2Y,Product Id: 33.01.013.1452,"                                 62,390  ","                                 58,000  ",Dell,Dell Inspiron 15 3501,Inspiron,BULLN315TGL2105255-2Y,Intel,Intel Core i5,11th,Core i5 1135G7,2.40 GHz,4.20 GHz,4,8,8MB,4GB,1 x 4GB Removable,DDR4,3200MHz,2,32GB,1TB HDD,SATA,5400 RPM,1,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED,1920x1080 (WxH) FHD,,No,1,1 x USB2.0,2 x USB 3.2 Gen 1 Type-A,1,Combo,Combo,1 x Wedge-shaped lock slot,Yes,802.11ac (1x1),Yes,,Stereo Speakers,Array Microphone,HD Webcam,Yes,TouchPad,Windows 10 Home,Black,363 x 249 x 18mm,1.83 Kg,3 Cell,42 Wh,,,2 Year (2 Year for Battery and Adapter),Estimated Warranty Claim Duration 25 Days. It may take additional time up to 50 days,"720p at 30 fps HD camera, single-array microphone (Webcam), High Definition Audio, 2.0 stereo speakers, Realtek ALC3204 with Waves MaxxAudio Pro, 2 W x 2 (Audio and Speakers)",,USA,China,,SD Card Reader,,,,Plastic,,,,,Anti-glare,,,,,,1,,,,,,,,,,,,,,,,,,
